author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Teddy Hulls	http://www.youtube.com/channel/UCRlFGuffqLzVAODtHeSKHbA	u should do a tutorial on how you did the thumbnail! my favorite part is on  the foods 7:00	https://www.youtube.com/watch?v=hUeHOtSLM-0&lc=Ugz-kbcJNl_JgO-Az6R4AaABAg	Ugz-kbcJNl_JgO-Az6R4AaABAg	2023-08-31T03:04:47Z	hUeHOtSLM-0
Solomon adeeps	http://www.youtube.com/channel/UCq7wf_Fqds5Qhh1IX5qV-CA	i dont really travel much so happy for you! is the 9:08 madoobua are beautifully	https://www.youtube.com/watch?v=hUeHOtSLM-0&lc=UgxZr66jpQs7OeoJG1x4AaABAg	UgxZr66jpQs7OeoJG1x4AaABAg	2023-08-31T03:11:38Z	hUeHOtSLM-0
BEAST BOY	http://www.youtube.com/channel/UCFeR78lLOVJr0R_7fD951tQ	I have visited once it's amazing place 9:01 was so beautiful 💕	https://www.youtube.com/watch?v=hUeHOtSLM-0&lc=Ugyi_RDx00IRrTcuxhR4AaABAg	Ugyi_RDx00IRrTcuxhR4AaABAg	2023-08-30T05:36:33Z	hUeHOtSLM-0
Black panther	http://www.youtube.com/channel/UCpQNvIIyx1qQb-bcB2-NUzQ	Every scene felt like a carefully crafted masterpiece, and your infectious enthusiasm turned each moment into a treasure. The way you effortlessly transition between exploring the mesmerizing beaches and savoring the delectable Thai cuisine is a testament to your impeccable storytelling skills. I found myself nodding in agreement, smiling, and even gasping in awe as you unfolded the magic of Phuket.  7:07	https://www.youtube.com/watch?v=hUeHOtSLM-0&lc=Ugw_kLmHkuPJSArsRdp4AaABAg	Ugw_kLmHkuPJSArsRdp4AaABAg	2023-08-31T13:09:49Z	hUeHOtSLM-0
