author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Big Stall	http://www.youtube.com/channel/UC1oMf20lnvn9ecmEHcP-kZw	YOUR -------------------------------------------------- I agree with your advice of the course being economically sound. Due to the cost of living  continuously rising, you have to be smart  with every dime. Not everyone who shows  themself as an instructor has your best interest in mind. The information may not be false but it may be basic level information with a highly  exclusive price tag.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxwujdGv0ba6kzMPMR4AaABAg	UgxwujdGv0ba6kzMPMR4AaABAg	2023-07-10T15:28:22Z	yVEjs_9CyU4
James Yoon	http://www.youtube.com/channel/UCjHZJNd5oCMayvBLG-8zvuQ	WITH Thanks for the awesome videos	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugyjy8GsXjrChFPUHAF4AaABAg	Ugyjy8GsXjrChFPUHAF4AaABAg	2023-07-11T05:57:12Z	yVEjs_9CyU4
Mike Dredge	http://www.youtube.com/channel/UCzhSr4BSjplY2fe-Ucs5q0Q	SMART appreciate your video on online course scams. It's important to be cautious and verify the credibility of course providers. Your channel's coverage of cybersecurity, education, and career improvement is valuable for learners. This giveaway is an exciting way to interact with your content and support your efforts. Best of luck to everyone entering the giveaway!	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgyvKwsZvqwzwCN00nh4AaABAg	UgyvKwsZvqwzwCN00nh4AaABAg	2023-07-10T13:35:30Z	yVEjs_9CyU4
Chris	http://www.youtube.com/channel/UCGDrmTq0z8emkhQOAuUejig	BE SMART WITH YOUR COINS agree with your vid 100%. The paper from a cert or a college degree don’t mean much if you didn’t actually learn anything.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzBsJu5MQ37xromk2V4AaABAg	UgzBsJu5MQ37xromk2V4AaABAg	2023-07-10T09:13:22Z	yVEjs_9CyU4
Nathan Frageman	http://www.youtube.com/channel/UC-DxpaPQcyGVW2pUeyJ__bw	SMART Josh, your statement about the helpfulness of courses strikes a chord with my recent experience. I purchased a course from Graham Stephan, expecting it to be valuable, but I was left disappointed as it didn't deliver the expected results. In contrast, your channel and the courses you offer in cybersecurity have been a revelation.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgywWeNKYnQ_GJTF20d4AaABAg	UgywWeNKYnQ_GJTF20d4AaABAg	2023-07-11T21:45:23Z	yVEjs_9CyU4
Invisible One	http://www.youtube.com/channel/UC6QJFDPpXPhpplTQjMJkUvg	COINS: Thanks for addressing the concerns surrounding scams in online courses. It's crucial to protect your COINS by being cautious and doing thorough research. Your channel, covering topics in cybersecurity, education, and career improvement, provides valuable insights. This giveaway is an exciting opportunity to engage with your content and support your efforts. Good luck to all participants!	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugw999eVsoXEjmqQO2B4AaABAg	Ugw999eVsoXEjmqQO2B4AaABAg	2023-07-10T18:32:10Z	yVEjs_9CyU4
Christopher Mwateri	http://www.youtube.com/channel/UCuGxTXCkjWbH-9rEjwqAwRg	BE I think it is Smart to choose a curated and organized course to save time but being careful With your coins at the same time	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxaKUh2n79WVYszPLR4AaABAg	UgxaKUh2n79WVYszPLR4AaABAg	2023-07-10T08:15:57Z	yVEjs_9CyU4
thundora1	http://www.youtube.com/channel/UCN2snFZS7zpewPGJrVqMRDg	Smart.   I agree with you Josh and I personally bought your leveld course because I saw a lot of value in the projects and labs for my portfolio. Getting a $80,000+ cyber job for paying $500 for a course seems like good ROI for me ( not counting CompTIA+ cert of course)	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugzlt-gqRNWy8h_n5jF4AaABAg	Ugzlt-gqRNWy8h_n5jF4AaABAg	2023-07-10T15:19:26Z	yVEjs_9CyU4
Jamil Isa	http://www.youtube.com/channel/UC4OAjJSsLhaMqdlTb1jqJhQ	WITH Look for transparency paying for an online course and some of the green flags mentioned in the video might help.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzNWof9BbAJ-o0ayLV4AaABAg	UgzNWof9BbAJ-o0ayLV4AaABAg	2023-07-10T12:01:53Z	yVEjs_9CyU4
Black panther	http://www.youtube.com/channel/UCpQNvIIyx1qQb-bcB2-NUzQ	WITH  Thank you for the informative video on cybersecurity! Your explanations of various types of cyber threats and the importance of implementing strong security measures were clear and concise. It's essential for everyone to understand the risks and take steps to protect themselves. Keep up the great work!	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxXpCFbhc_n5jQ4EKh4AaABAg	UgxXpCFbhc_n5jQ4EKh4AaABAg	2023-07-10T22:28:51Z	yVEjs_9CyU4
Nicolás Florentín	http://www.youtube.com/channel/UC960_N2Us2b8g9Xl42cyc0A	BE I have started this journey a couple of weeks ago and I've never felt that I was in the right way in a long long time. And curiously now I know that I can be able to have a good job out of this, and of course it isn't gonna be easy but I will give a fight, or even better flow with it. Okay I got a bit poetic I'm sorry but I'm glad	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxX7gECfcz4osqLkkZ4AaABAg	UgxX7gECfcz4osqLkkZ4AaABAg	2023-07-10T15:10:33Z	yVEjs_9CyU4
art	http://www.youtube.com/channel/UCLz5nAJZZ1k2yOL4iESeX8Q	WITH I was going to get a double bachelors and forget trying to pursue a masters. Thanks to the advise of many people, I think a 2nd bachelors would have significantly less weight than a masters.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwIg0CTSESE5OV-kTN4AaABAg	UgwIg0CTSESE5OV-kTN4AaABAg	2023-07-10T23:14:34Z	yVEjs_9CyU4
anoush khatir	http://www.youtube.com/channel/UCTwxB-acRh1iVVlHunc7qvw	SMART I do agree with your comments in this video !	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgyD7DNJJJK7DqAnxUZ4AaABAg	UgyD7DNJJJK7DqAnxUZ4AaABAg	2023-07-10T09:28:45Z	yVEjs_9CyU4
Zelina Gaga	http://www.youtube.com/channel/UCmziTJ8f3JZqA-jYtoXXAWQ	COINS Thank you, Josh, for shedding light on the issue of online course scams in your video. Your knowledge and passion for cybersecurity are inspiring. It's important for viewers to be aware of potential scams and make informed choices. The $50 giveaway is a great way to engage with your content and support your mission. Keep up the great work!	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzYfZCmfxmzEdZC_jd4AaABAg	UgzYfZCmfxmzEdZC_jd4AaABAg	2023-07-11T09:08:11Z	yVEjs_9CyU4
Kester Edison	http://www.youtube.com/channel/UCVECqa87Qi7keKBuluE5qIg	COINS  Josh, your point about people misconstruing well-established courses delivered by individuals as scams resonates with me. Many fail to recognize the value that passionate individuals bring to the table.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgznjfvuXCGFnusi8hB4AaABAg	UgznjfvuXCGFnusi8hB4AaABAg	2023-07-11T10:40:20Z	yVEjs_9CyU4
Great Freely	http://www.youtube.com/channel/UC6C2GlYbGd7o6cojIbFmm0Q	WITH Josh, your video on online course scams was an eye-opener! As a follower of your cybersecurity content, I appreciate your dedication to educating viewers. It's important to be aware of potential scams and verify the credibility of online courses. Thank you for being a trustworthy source of information!	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxdPNsRSAUXK10Pgm94AaABAg	UgxdPNsRSAUXK10Pgm94AaABAg	2023-07-10T22:24:33Z	yVEjs_9CyU4
JJz	http://www.youtube.com/channel/UCQri80EcrBblyqODQz1r-KQ	WITH Great info as always. If you put the work in and are self motivated you can def get a lot of value that will pay off!	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgyC5BT0pDy0cjiaFNZ4AaABAg	UgyC5BT0pDy0cjiaFNZ4AaABAg	2023-07-10T23:34:43Z	yVEjs_9CyU4
Williams Jude	http://www.youtube.com/channel/UCIvb-S6kNPHjZ7mGFys0Xeg	"WITH: I appreciate the emphasis on cybersecurity and education in this video. The information shared is valuable for anyone looking to improve their tech skills. Thank you for providing practical guidance and resources!"""	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgweU85zyO1vb4UvCjV4AaABAg	UgweU85zyO1vb4UvCjV4AaABAg	2023-07-10T11:58:20Z	yVEjs_9CyU4
Exposing Scammers 🚨🚨	http://www.youtube.com/channel/UC0dS2KG721QwA2jhY_5BlTQ	YOUR  Indeed! We need to be smart with our coins nowadays! This video is indeed awesome 🤩🤩 as you're	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugw2XB5cI_UDLnAlsaN4AaABAg	Ugw2XB5cI_UDLnAlsaN4AaABAg	2023-07-10T12:04:58Z	yVEjs_9CyU4
Rhayna Priscilla	http://www.youtube.com/channel/UCf129aifMHXeUkLuhb53anA	SMART Josh, I just wanted to reach out and say how much I appreciate your videos. Your cybersecurity-focused channel has been an incredible resource for me, and I genuinely enjoy the content you create. Your expertise, combined with your kind and friendly nature, makes learning from you an absolute delight.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxZmSqTjo1_50VHGNR4AaABAg	UgxZmSqTjo1_50VHGNR4AaABAg	2023-07-11T22:08:27Z	yVEjs_9CyU4
Remilia Prower	http://www.youtube.com/channel/UCXBTGiLBmS-ANlyE-KgtU9A	WITH Thank you for the information about how a 2nd degree vs other means would work out when getting a technical job such as cybersecurity (at about the 5:00 minute). I would have considered getting more degrees later if you didn't bring this up~	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwkhxNGllLI9aqsCcB4AaABAg	UgwkhxNGllLI9aqsCcB4AaABAg	2023-07-10T15:36:13Z	yVEjs_9CyU4
Prosper Wisdom	http://www.youtube.com/channel/UCRORDpepo3qMkaGz29ZaZpg	WITH Your mentorship would not only enhance my knowledge and skills in cybersecurity but also remind me of the importance of embracing individual-driven education. Thank you for championing the transformative potential of content creators and their impact on the IT and cybersecurity industry.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugxu5tWJz7ElcUNEZAF4AaABAg	Ugxu5tWJz7ElcUNEZAF4AaABAg	2023-07-11T12:51:57Z	yVEjs_9CyU4
Hannah Molly	http://www.youtube.com/channel/UC2MkGuH3xnI8_KQd-iCK2ew	WITH Thank you for organizing this giveaway! Your cybersecurity content has equipped me with practical tips for online safety.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugyzeuj4F9vXqEKHjbt4AaABAg	Ugyzeuj4F9vXqEKHjbt4AaABAg	2023-07-10T20:38:13Z	yVEjs_9CyU4
Paul Jr 	http://www.youtube.com/channel/UCQy1bOC-n0f18eKEw3om3Qg	WITH Thanks for this amazing opportunity 🥰🥰🥰🥰	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzCLHuar2DMVzOB9xF4AaABAg	UgzCLHuar2DMVzOB9xF4AaABAg	2023-07-11T07:39:12Z	yVEjs_9CyU4
Bojo	http://www.youtube.com/channel/UCMXCTBJjI6mnkCh5jsIudSQ	SMART  I agree with you that investing in itself is the best thing you can do with money  ￼	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxIpBl6pIbO_CiPSkl4AaABAg	UgxIpBl6pIbO_CiPSkl4AaABAg	2023-07-10T17:34:00Z	yVEjs_9CyU4
Time Capsule	http://www.youtube.com/channel/UCfBOeSUDIa8LhkUZ7tAuuMA	COINS Also courses from well-known institutions often come with the advantage of brand recognition and networking opportunities. Employers may value certifications or degrees from reputable institutions, as they carry a certain level of credibility and trust.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxVaXXgLdMBpHrXACB4AaABAg	UgxVaXXgLdMBpHrXACB4AaABAg	2023-07-10T15:34:17Z	yVEjs_9CyU4
Florian NSABIYUMVA	http://www.youtube.com/channel/UCPvJnV4kpVjd34OqgiDE52Q	COINS I agree with your point that short courses are cheaper than the tuition of a full degree.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxNe4A1H4Y4taLJx-V4AaABAg	UgxNe4A1H4Y4taLJx-V4AaABAg	2023-07-10T15:31:48Z	yVEjs_9CyU4
Bojo	http://www.youtube.com/channel/UCMXCTBJjI6mnkCh5jsIudSQ	YOUR  I agree with you that the fact that you spend a lot on education does not mean that it will pay off	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugz54LgsYmCyYyR9BKV4AaABAg	Ugz54LgsYmCyYyR9BKV4AaABAg	2023-07-10T17:39:03Z	yVEjs_9CyU4
Jaya pavan	http://www.youtube.com/channel/UCVw3h-j666ifzc20JHOMJ8A	WITH  Like you need to research if the universities regularly update their course curriculum and how their reputation is in that specific field	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxBP2fiRy9hKjM12XF4AaABAg	UgxBP2fiRy9hKjM12XF4AaABAg	2023-07-10T20:37:21Z	yVEjs_9CyU4
E.A OGODO	http://www.youtube.com/channel/UCvwO3lDAyNT1i6LtJeRw4cg	"""BE"" I agree with you because, in my opinion, organic positive reviews indicate that the course is a good one."	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzqkqIe3jKaQGeos8N4AaABAg	UgzqkqIe3jKaQGeos8N4AaABAg	2023-07-10T16:02:11Z	yVEjs_9CyU4
Bch08	http://www.youtube.com/channel/UC3xn86yX97bDTy4K1NjW8lA	BE  I agree that simply spending money on education does not automatically guarantee that someone will derive significant value from it. That is why it is important to ensure that the value derived from education outweighs the investment of money and time. The true value of education lies in the knowledge, skills, and personal growth acquired, which can positively impact one's career prospects, intellectual development, and overall well-being. It is crucial to choose educational opportunities that align with one's goals and provide a strong return on investment in terms of practical knowledge, tangible outcomes, and personal fulfillment.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzvBlxpJiRxcoUFKFd4AaABAg	UgzvBlxpJiRxcoUFKFd4AaABAg	2023-07-10T09:26:32Z	yVEjs_9CyU4
Thesilvereyedude	http://www.youtube.com/channel/UCusaMinZ2co7MJxbENHTGgg	BE Hey Josh, your video on online course scams was incredibly informative. Your insights into cybersecurity were valuable and thought-provoking. The $50 giveaway is a fantastic opportunity for your subscribers to engage with your content and potentially benefit from your expertise. Thank you for sharing your knowledge and providing such a generous opportunity!	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxCIDunmRkhisegI0h4AaABAg	UgxCIDunmRkhisegI0h4AaABAg	2023-07-11T09:08:55Z	yVEjs_9CyU4
iSpyder	http://www.youtube.com/channel/UCdaqMRTt20ZSL-CDU_uN_GQ	Coins totally agree with you bri. Everything you said is very valuable	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugxa4d8hhTZPzxfeyMJ4AaABAg	Ugxa4d8hhTZPzxfeyMJ4AaABAg	2023-07-11T01:55:32Z	yVEjs_9CyU4
Jae Will	http://www.youtube.com/channel/UC9_cAt0414Peo-9GC_tYQ_Q	SMART I think the issue for me is paying and there isn't a guarantee job or companies don't acknowledge the course. Even with a great syllabus it's DIY and there's no assistance. Like you said the info is available but depending on what it is, it can still be very confusing.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxL1iNzSrU2QUPz2vp4AaABAg	UgxL1iNzSrU2QUPz2vp4AaABAg	2023-07-10T13:04:18Z	yVEjs_9CyU4
Bch08	http://www.youtube.com/channel/UC3xn86yX97bDTy4K1NjW8lA	"WITH   We are of one mind when you mentioned that ""obtaining another bachelor's degree after already earning one may not always be the wisest choice"" because it often requires a significant investment of time and money. Pursuing another bachelor's degree typically involves starting from the beginning and completing a full course of study, duplicating some coursework that has already been covered in the previous degree. This can be inefficient and may not provide a substantial increase in knowledge or skills compared to pursuing a more advanced degree or specialized certification in the desired field."	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxEMXdVnqfLH9UxQSF4AaABAg	UgxEMXdVnqfLH9UxQSF4AaABAg	2023-07-10T09:40:02Z	yVEjs_9CyU4
Guny	http://www.youtube.com/channel/UCHZzuNIPx4VZ_OwiFri67PQ	COINS I agree with the Mosh recommendation. His videos are great and you can do a project along with it, which you can show to the employers.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwiOXFAt3LSSLNaiFd4AaABAg	UgwiOXFAt3LSSLNaiFd4AaABAg	2023-07-12T03:57:34Z	yVEjs_9CyU4
Ahmad Umar	http://www.youtube.com/channel/UCUZZ-NDPLHk9QQ6O_C122mw	YOUR There are numerous trustworthy organisations and platforms that offer authentic online courses with useful educational content.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxL0N3EW5XuxlyWp7l4AaABAg	UgxL0N3EW5XuxlyWp7l4AaABAg	2023-07-10T11:46:47Z	yVEjs_9CyU4
Remilia Prower	http://www.youtube.com/channel/UCXBTGiLBmS-ANlyE-KgtU9A	COINS 11:47 It can't be stressed enough how important experience is. So many employer these days (I hear they are HR departments that know very little about the technical side of their company XD) want some form of work experience, and for a period of time. Not only would Mr. Madakor's program address that, but we will actually and practically learn how to do something in accordance with the job we are chasing after. Experience at this price cannot be a scam, and this is coming from someone whom was only willing to buy Udemy courses that were on sale~	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzPIlBtKMbgdYQ_Pnl4AaABAg	UgzPIlBtKMbgdYQ_Pnl4AaABAg	2023-07-10T15:48:11Z	yVEjs_9CyU4
