author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Happy Girl	http://www.youtube.com/channel/UCcbgI65QaMajdhEsmnGIQOA	SMART Josh, I wanted to reach out and say how much I appreciate your videos that teach me about cybersecurity. Your channel has been instrumental in expanding my knowledge and skills in this field. Your ability to explain complex topics with clarity and your friendly demeanor make it a pleasure to learn from you.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzQ-AFU6Yle4DsxiMl4AaABAg	UgzQ-AFU6Yle4DsxiMl4AaABAg	2023-07-11T22:22:43Z	yVEjs_9CyU4
Dezly Macauley	http://www.youtube.com/channel/UCrA1gPQn4SmRmOriCoOhZQw	SMART  I agree with you with you on the time savings from having a structured course. There's a lot of free information online but it's not well structured and may leave one bouncing back and forth between courses to fill in the gaps.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugzzv9TQdj6jnXMPDhV4AaABAg	Ugzzv9TQdj6jnXMPDhV4AaABAg	2023-07-11T12:29:58Z	yVEjs_9CyU4
Abel Mossen	http://www.youtube.com/channel/UCVKC2439007dNRdZv7k5GPg	SMART Not all online courses are fake or scam but most of them are not really important	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwBEJAc7fZHZ71-ctx4AaABAg	UgwBEJAc7fZHZ71-ctx4AaABAg	2023-07-10T18:55:35Z	yVEjs_9CyU4
Testimony	http://www.youtube.com/channel/UCsqNGgzywfF7x0haZHTP5Jw	SMART: This video tackles a common concern about online courses and scams. It's SMART to exercise critical thinking and evaluate each course individually. Look for reputable platforms, check for accreditation, and read reviews to make informed decisions. Online courses can provide valuable knowledge and skills when chosen wisely.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugy-pYgC7HBeDG7vwrp4AaABAg	Ugy-pYgC7HBeDG7vwrp4AaABAg	2023-07-10T12:22:16Z	yVEjs_9CyU4
free guy	http://www.youtube.com/channel/UCzCJNFDC9dNUS4bIe8pS7fQ	SMART Your genuine kindness and passion for helping others shine through in every upload. Thank you for being such a genuinely nice guy and for creating content that not only educates but also brings joy to your viewers.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgybXHoMdBtWltwZiod4AaABAg	UgybXHoMdBtWltwZiod4AaABAg	2023-07-11T22:12:45Z	yVEjs_9CyU4
C Ena	http://www.youtube.com/channel/UCDZjcOAVZ_nKTiHp9EZDbvQ	SMART As someone seeking knowledge in cybersecurity, I appreciate the value of content creators. Your mentorship would not only guide me in the field but also remind me of the transformative potential that lies within individual-driven education.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugx-5q86CY8KBfmCQ9t4AaABAg	Ugx-5q86CY8KBfmCQ9t4AaABAg	2023-07-11T10:47:26Z	yVEjs_9CyU4
Chris	http://www.youtube.com/channel/UCGDrmTq0z8emkhQOAuUejig	SMART I’m currently doing a career change in my 40s and just don’t have time for a traditional college schedule. So for me my plan is to get A+, net+ and sec+ as well as ur course for cybersecurity to get me prepared to get my foot in the door in this industry.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwEjigY7PQp7wcpxzV4AaABAg	UgwEjigY7PQp7wcpxzV4AaABAg	2023-07-10T09:06:58Z	yVEjs_9CyU4
Mumzy Ed	http://www.youtube.com/channel/UCPUofX9nEl6q42FiHiYTiSg	SMART i agree with you, spending too much on school/education doesnt guarantee of success or money back. Keep inspiring us Josh	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwWki4bRpbvCxy25AB4AaABAg	UgwWki4bRpbvCxy25AB4AaABAg	2023-07-11T00:25:19Z	yVEjs_9CyU4
Nicolás Florentín	http://www.youtube.com/channel/UC960_N2Us2b8g9Xl42cyc0A	SMART It's always interesting to see someone else's path, you certainly can get an idea of what it takes, but as you say I think it is more discipline than anything else	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwVd_m_DRJ6YwjS2at4AaABAg	UgwVd_m_DRJ6YwjS2at4AaABAg	2023-07-10T15:14:01Z	yVEjs_9CyU4
Benedict McCoy	http://www.youtube.com/channel/UCHdE1DgwHwuklWFcfeko8Lg	COINS I'LL BE SMART WITH MY COINS. I appreciate the giveback. Good luck to all that's participating!!	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxHGdBmDYMP2kODb5J4AaABAg	UgxHGdBmDYMP2kODb5J4AaABAg	2023-07-11T10:29:03Z	yVEjs_9CyU4
Invisible One	http://www.youtube.com/channel/UC6QJFDPpXPhpplTQjMJkUvg	SMART  I appreciate your video on the topic of scams in online courses. It's important to BE SMART and approach online courses with caution. Doing thorough research and verifying credibility is essential. Your channel's focus on cybersecurity, education, and career improvement provides valuable insights. This giveaway is a fantastic chance to engage with your content and show support. Good luck to everyone participating!	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwtgfAD222upLtVJKh4AaABAg	UgwtgfAD222upLtVJKh4AaABAg	2023-07-10T18:32:37Z	yVEjs_9CyU4
Jamil Isa	http://www.youtube.com/channel/UC4OAjJSsLhaMqdlTb1jqJhQ	SMART Look for transparency paying for an online course and some of the green flags mentioned in the video might help.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzHbgUZ72SxIblSUFl4AaABAg	UgzHbgUZ72SxIblSUFl4AaABAg	2023-07-10T12:01:35Z	yVEjs_9CyU4
art	http://www.youtube.com/channel/UCLz5nAJZZ1k2yOL4iESeX8Q	SMART I agree with you about investing in yourself. It could be beneficial in the long term by increasing your potential for higher paying job opportunities and personal growth.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzuAxnDphXTwE5P4xl4AaABAg	UgzuAxnDphXTwE5P4xl4AaABAg	2023-07-10T23:13:17Z	yVEjs_9CyU4
